name	start	end	length	id	type	isfamily	isgroup	is_score	is_expected	is_frame	is_perc_of_orf	is_origin	-5tolessthan5	5tolessthan15	15tolessthan25	25tolessthan35	35tolessthan45	45tolessthan55	55tolessthan65	65tolessthan75	75tolessthan85	85tolessthan95	95tolessthan105	105tolessthan115	completeIS_0.95	1828223	1829482	1260	<unknown id>	ISNpu7_orf1 	IS701	-	1745.0	0.0	(-1, 0)	0.998	Nostoc punctiforme	1.0	0	0	0	0	0	0	0	0	0	0	1	0	is_name:ISNpu7_orf1 	original_orf:421	original_aa_length:420	family:IS701	group:-	origin:Nostoc punctiforme	ntlength:1414.0	orflength:421	numorfs:1.0	sbjct_start:1	sbjct_end:420	expected:0.0	score:1745.0	query_length:1268	query_start:3	identities:308	align_length:420	positives:370	query_end:1262	frame:(-1, 0)	bits:676.781	mod_query_start:1828222	mod_query_end:1829481	perc_of_orf:0.998	
completeIS_0.95	1828223	1829482	1260	<unknown id>	ISNpu7_orf1 	IS701	-	1745.0	0.0	(-1, 0)	0.998	Nostoc punctiforme	1.0	0	0	0	0	0	0	0	0	0	0	2	0	is_name:ISNpu7_orf1 	original_orf:421	original_aa_length:420	family:IS701	group:-	origin:Nostoc punctiforme	ntlength:1414.0	orflength:421	numorfs:1.0	sbjct_start:1	sbjct_end:420	expected:0.0	score:1745.0	query_length:1268	query_start:3	identities:308	align_length:420	positives:370	query_end:1262	frame:(-1, 0)	bits:676.781	mod_query_start:1828222	mod_query_end:1829481	perc_of_orf:0.998	
completeIS_0.95	1828223	1829482	1260	<unknown id>	ISNpu7_orf1 	IS701	-	1745.0	0.0	(-1, 0)	0.998	Nostoc punctiforme	1.0	0	0	0	0	0	0	0	0	0	0	3	0	is_name:ISNpu7_orf1 	original_orf:421	original_aa_length:420	family:IS701	group:-	origin:Nostoc punctiforme	ntlength:1414.0	orflength:421	numorfs:1.0	sbjct_start:1	sbjct_end:420	expected:0.0	score:1745.0	query_length:1268	query_start:3	identities:308	align_length:420	positives:370	query_end:1262	frame:(-1, 0)	bits:676.781	mod_query_start:1828222	mod_query_end:1829481	perc_of_orf:0.998	
completeIS_0.95	1828223	1829482	1260	<unknown id>	ISNpu7_orf1 	IS701	-	1745.0	0.0	(-1, 0)	0.998	Nostoc punctiforme	1.0	0	0	0	0	0	0	0	0	0	0	4	0	is_name:ISNpu7_orf1 	original_orf:421	original_aa_length:420	family:IS701	group:-	origin:Nostoc punctiforme	ntlength:1414.0	orflength:421	numorfs:1.0	sbjct_start:1	sbjct_end:420	expected:0.0	score:1745.0	query_length:1268	query_start:3	identities:308	align_length:420	positives:370	query_end:1262	frame:(-1, 0)	bits:676.781	mod_query_start:1828222	mod_query_end:1829481	perc_of_orf:0.998	
completeIS_0.95	1608467	1609585	1119	<unknown id>	ISNsp2_orf2 	IS200/IS605	-	1738.0	0.0	(-1, 0)	1.0	Nostoc sp.	2.0	0	0	0	0	0	0	0	0	0	0	5	0	is_name:ISNsp2_orf2 	original_orf:374	original_aa_length:374	family:IS200/IS605	group:-	origin:Nostoc sp.	ntlength:1718.0	orflength:374	numorfs:2.0	sbjct_start:1	sbjct_end:374	expected:0.0	score:1738.0	query_length:1172	query_start:51	identities:335	align_length:374	positives:354	query_end:1169	frame:(-1, 0)	bits:674.085	mod_query_start:1608466	mod_query_end:1609584	perc_of_orf:1.0	
completeIS_0.95	1608467	1609585	1119	<unknown id>	ISNsp2_orf2 	IS200/IS605	-	1738.0	0.0	(-1, 0)	1.0	Nostoc sp.	2.0	0	0	0	0	0	0	0	0	0	0	6	0	is_name:ISNsp2_orf2 	original_orf:374	original_aa_length:374	family:IS200/IS605	group:-	origin:Nostoc sp.	ntlength:1718.0	orflength:374	numorfs:2.0	sbjct_start:1	sbjct_end:374	expected:0.0	score:1738.0	query_length:1172	query_start:51	identities:335	align_length:374	positives:354	query_end:1169	frame:(-1, 0)	bits:674.085	mod_query_start:1608466	mod_query_end:1609584	perc_of_orf:1.0	
completeIS_0.95	1608467	1609585	1119	<unknown id>	ISNsp2_orf2 	IS200/IS605	-	1738.0	0.0	(-1, 0)	1.0	Nostoc sp.	2.0	0	0	0	0	0	0	0	0	0	0	7	0	is_name:ISNsp2_orf2 	original_orf:374	original_aa_length:374	family:IS200/IS605	group:-	origin:Nostoc sp.	ntlength:1718.0	orflength:374	numorfs:2.0	sbjct_start:1	sbjct_end:374	expected:0.0	score:1738.0	query_length:1172	query_start:51	identities:335	align_length:374	positives:354	query_end:1169	frame:(-1, 0)	bits:674.085	mod_query_start:1608466	mod_query_end:1609584	perc_of_orf:1.0	
completeIS_0.95	1608467	1609585	1119	<unknown id>	ISNsp2_orf2 	IS200/IS605	-	1738.0	0.0	(-1, 0)	1.0	Nostoc sp.	2.0	0	0	0	0	0	0	0	0	0	0	8	0	is_name:ISNsp2_orf2 	original_orf:374	original_aa_length:374	family:IS200/IS605	group:-	origin:Nostoc sp.	ntlength:1718.0	orflength:374	numorfs:2.0	sbjct_start:1	sbjct_end:374	expected:0.0	score:1738.0	query_length:1172	query_start:51	identities:335	align_length:374	positives:354	query_end:1169	frame:(-1, 0)	bits:674.085	mod_query_start:1608466	mod_query_end:1609584	perc_of_orf:1.0	
completeIS_0.95	603536	604756	1221	<unknown id>	ISTosp1_orf1 	IS200/IS605	IS1341	1709.0	0.0	(3, 0)	0.993	Tolypothrix sp.	1.0	0	0	0	0	0	0	0	0	0	0	9	0	is_name:ISTosp1_orf1 	original_orf:412	original_aa_length:409	family:IS200/IS605	group:IS1341	origin:Tolypothrix sp.	ntlength:1372.0	orflength:412	numorfs:1.0	sbjct_start:4	sbjct_end:412	expected:0.0	score:1709.0	query_length:1265	query_start:3	identities:355	align_length:409	positives:382	query_end:1223	frame:(3, 0)	bits:662.914	mod_query_start:603535	mod_query_end:604755	perc_of_orf:0.993	
completeIS_0.95	603536	604756	1221	<unknown id>	ISTosp1_orf1 	IS200/IS605	IS1341	1709.0	0.0	(3, 0)	0.993	Tolypothrix sp.	1.0	0	0	0	0	0	0	0	0	0	0	10	0	is_name:ISTosp1_orf1 	original_orf:412	original_aa_length:409	family:IS200/IS605	group:IS1341	origin:Tolypothrix sp.	ntlength:1372.0	orflength:412	numorfs:1.0	sbjct_start:4	sbjct_end:412	expected:0.0	score:1709.0	query_length:1265	query_start:3	identities:355	align_length:409	positives:382	query_end:1223	frame:(3, 0)	bits:662.914	mod_query_start:603535	mod_query_end:604755	perc_of_orf:0.993	
completeIS_0.95	603536	604756	1221	<unknown id>	ISTosp1_orf1 	IS200/IS605	IS1341	1709.0	0.0	(3, 0)	0.993	Tolypothrix sp.	1.0	0	0	0	0	0	0	0	0	0	0	11	0	is_name:ISTosp1_orf1 	original_orf:412	original_aa_length:409	family:IS200/IS605	group:IS1341	origin:Tolypothrix sp.	ntlength:1372.0	orflength:412	numorfs:1.0	sbjct_start:4	sbjct_end:412	expected:0.0	score:1709.0	query_length:1265	query_start:3	identities:355	align_length:409	positives:382	query_end:1223	frame:(3, 0)	bits:662.914	mod_query_start:603535	mod_query_end:604755	perc_of_orf:0.993	
